                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.74172,                 1.5858,                0.57534,                 1.0466,                0.76391,                0.70732,                0.73193,                0.49829,                0.76391,                0.70732,                0.72646,                 0.4212,                 1.2227,                 2.5963,                 1.1481,                 1.5542,              0.0016515,              0.0016515,              0.0016515
                     47,                0.76822,                 1.5764,                 0.6028,                 1.0513,                0.83788,                0.56098,                 0.7036,                 0.4391,                0.87408,                0.56098,                0.69262,                0.36476,                 1.3251,                 2.9653,                 1.2334,                 1.5957,              0.0016436,              0.0016436,              0.0016436
                     48,                  0.742,                 1.5012,                0.56439,                 1.0415,                0.70275,                0.69211,                0.70714,                0.42886,                0.65395,                0.64544,                0.65258,                 0.3602,                 1.4029,                 3.2157,                 1.2167,                 1.6431,              0.0016357,              0.0016357,              0.0016357
                     49,                0.76121,                 1.6396,                0.57855,                  1.045,                0.72186,                0.69645,                0.72673,                 0.4745,                0.73464,                0.63415,                 0.7127,                0.37551,                 1.2616,                 3.0376,                 1.1694,                 1.5184,              0.0016278,              0.0016278,              0.0016278
                     50,                0.75277,                  1.536,                0.57169,                 1.0413,                  0.739,                0.78049,                0.75753,                 0.5133,                0.71574,                 0.7561,                0.74272,                0.37899,                 1.1826,                 2.7867,                  1.115,                 1.4695,              0.0016198,              0.0016198,              0.0016198
                     51,                0.77719,                 1.5649,                0.59286,                 1.0603,                0.76773,                 0.7561,                0.74419,                0.46909,                0.77506,                0.58836,                0.63422,                0.35818,                 1.3094,                 2.8013,                 1.0912,                 1.5538,              0.0016119,              0.0016119,              0.0016119
                     52,                0.74859,                 1.6281,                0.59252,                 1.0454,                0.86589,                0.63005,                0.72598,                0.47202,                0.86589,                0.63005,                0.71077,                0.35336,                 1.3462,                 2.8594,                 1.1964,                 1.6551,               0.001604,               0.001604,               0.001604
                     53,                0.75649,                 1.5737,                0.58013,                 1.0352,                0.78919,                0.73171,                0.74449,                0.50228,                0.75826,                0.70732,                0.70276,                0.37868,                 1.2628,                 2.9111,                 1.1826,                 1.5861,              0.0015961,              0.0015961,              0.0015961
                     54,                0.75134,                 1.5832,                 0.5756,                 1.0473,                0.82314,                0.73171,                0.77366,                0.52814,                0.79395,                0.70732,                0.71364,                 0.4206,                 1.1441,                 2.8165,                   1.09,                 1.4201,              0.0015882,              0.0015882,              0.0015882
                     55,                0.72734,                 1.4877,                0.54314,                 1.0338,                0.77922,                0.73171,                0.73311,                0.50249,                0.77922,                0.73171,                 0.7479,                0.36991,                 1.2668,                 2.9912,                 1.1198,                 1.4926,              0.0015802,              0.0015802,              0.0015802
                     56,                  0.726,                 1.4625,                0.55643,                  1.025,                0.68736,                 0.7561,                0.71049,                0.50557,                0.69876,                 0.7561,                0.71773,                0.38444,                 1.1195,                 2.9621,                   1.03,                 1.4459,              0.0015723,              0.0015723,              0.0015723
                     57,                0.77269,                 1.5478,                0.57513,                 1.0421,                0.84839,                0.65854,                0.73491,                0.51563,                0.67206,                0.82927,                0.74406,                0.40975,                 1.1212,                 2.9551,                 1.0275,                 1.4645,              0.0015644,              0.0015644,              0.0015644
                     58,                0.74825,                 1.5152,                0.54913,                 1.0425,                0.83402,                0.73544,                0.77247,                0.52357,                0.83402,                0.73544,                0.76169,                0.39454,                 1.0911,                 3.0608,                0.92885,                 1.4753,              0.0015565,              0.0015565,              0.0015565
                     59,                 0.7573,                 1.5779,                0.56934,                 1.0539,                0.85581,                0.72399,                 0.7726,                0.50641,                0.88465,                0.74838,                0.79182,                0.38997,                 1.1629,                 3.0362,                 1.0191,                 1.4655,              0.0015486,              0.0015486,              0.0015486
                     60,                0.72776,                 1.4736,                0.54255,                 1.0266,                 0.8328,                0.65854,                0.72983,                0.46632,                 0.7799,                0.63415,                0.70037,                0.35515,                 1.2573,                 3.1036,                 1.2507,                 1.5267,              0.0015406,              0.0015406,              0.0015406
                     61,                0.72998,                 1.4705,                0.55098,                 1.0379,                0.89319,                0.65854,                0.78473,                0.52535,                0.66045,                 0.7561,                 0.7364,                0.44104,                 1.1933,                 2.8686,                 1.0777,                 1.4668,              0.0015327,              0.0015327,              0.0015327
                     62,                0.70609,                 1.4424,                0.53395,                 1.0134,                0.80597,                0.73171,                 0.7228,                0.49341,                0.80597,                0.73171,                0.71976,                0.42117,                 1.1933,                 2.7999,                 1.0262,                 1.5071,              0.0015248,              0.0015248,              0.0015248
                     63,                 0.7602,                  1.545,                0.56774,                 1.0413,                0.85654,                0.65854,                0.73592,                0.46873,                0.84467,                0.65854,                0.72627,                 0.3721,                 1.2156,                 2.6374,                 1.0256,                 1.4543,              0.0015169,              0.0015169,              0.0015169
                     64,                0.72909,                 1.4751,                0.53828,                 1.0328,                0.73152,                0.65854,                0.69885,                0.43413,                0.62926,                0.78049,                0.69007,                0.36315,                 1.3139,                 2.8266,                 1.0865,                 1.5752,               0.001509,               0.001509,               0.001509
                     65,                0.69464,                    1.4,                0.54115,                 1.0198,                0.78603,                0.82927,                0.80758,                0.55943,                0.78603,                0.82927,                0.80565,                0.44885,                  1.127,                 2.7733,                0.87525,                 1.4808,               0.001501,               0.001501,               0.001501
                     66,                0.71935,                 1.5228,                0.53019,                 1.0262,                0.80346,                0.82927,                0.82331,                 0.5618,                0.80346,                0.82927,                0.81855,                0.46461,                 1.1773,                 2.6399,                0.85066,                 1.4129,              0.0014931,              0.0014931,              0.0014931
                     67,                0.71618,                 1.4874,                0.54469,                 1.0297,                0.84066,                0.77222,                0.79176,                0.55094,                0.77789,                0.70732,                0.73107,                0.42707,                 1.1432,                 2.6042,                0.88604,                 1.4223,              0.0014852,              0.0014852,              0.0014852
                     68,                 0.7126,                 1.5041,                0.53791,                 1.0307,                  0.823,                0.79401,                0.77785,                0.55161,                0.78609,                 0.7561,                0.74196,                0.45315,                 1.0902,                 2.2986,                0.94925,                 1.3691,              0.0014773,              0.0014773,              0.0014773
                     69,                0.70592,                 1.4736,                0.53958,                 1.0322,                0.84353,                0.78049,                0.80798,                0.55839,                0.76272,                0.70732,                0.70552,                0.43387,                 1.1319,                 2.6157,                0.94067,                 1.4176,              0.0014694,              0.0014694,              0.0014694
                     70,                0.73429,                  1.505,                0.52587,                 1.0372,                0.96282,                0.65854,                 0.7578,                0.52346,                0.74396,                0.63791,                0.68219,                0.34598,                 1.2083,                  2.817,                 1.0701,                 1.5209,              0.0014614,              0.0014614,              0.0014614
                     71,                0.73515,                 1.5033,                0.55166,                 1.0441,                0.90137,                0.66886,                0.75841,                0.51222,                0.90137,                0.66886,                0.76285,                0.42395,                 1.1435,                 2.5244,                 0.9908,                 1.4893,              0.0014535,              0.0014535,              0.0014535
                     72,                0.74176,                 1.4303,                0.55129,                 1.0571,                0.90239,                0.67658,                0.76601,                0.55802,                0.90239,                0.67658,                0.76018,                0.44358,                 1.0908,                 2.5419,                 0.9955,                  1.431,              0.0014456,              0.0014456,              0.0014456
                     73,                0.72422,                 1.5061,                0.54275,                  1.032,                0.82471,                0.63415,                0.69694,                0.44849,                0.79299,                0.60976,                0.60544,                0.35797,                 1.2808,                 3.0773,                 1.1899,                 1.5659,              0.0014377,              0.0014377,              0.0014377
                     74,                0.73831,                 1.5315,                 0.5575,                 1.0352,                0.85073,                0.69524,                 0.7766,                0.54029,                0.79215,                0.65084,                0.70252,                0.38922,                 1.1758,                 2.8243,                0.94274,                 1.4654,              0.0014298,              0.0014298,              0.0014298
                     75,                0.69362,                 1.4218,                0.52266,                 1.0117,                0.88024,                 0.7561,                0.80808,                0.54396,                0.93941,                0.68293,                0.80845,                0.43527,                 1.1521,                 2.7704,                0.88266,                 1.4641,              0.0014218,              0.0014218,              0.0014218
                     76,                0.70461,                 1.4563,                0.52066,                 1.0148,                0.94848,                0.73171,                0.80751,                0.54924,                0.95573,                0.68293,                0.77414,                0.44917,                 1.0982,                 2.7679,                 1.0715,                 1.4249,              0.0014139,              0.0014139,              0.0014139
                     77,                0.72445,                 1.4827,                0.53027,                 1.0307,                      1,                0.65807,                0.80973,                0.54859,                0.85831,                0.65854,                0.75836,                0.43247,                 1.1204,                 2.5498,                0.99742,                 1.4649,               0.001406,               0.001406,               0.001406
                     78,                0.69298,                 1.4318,                0.51531,                 1.0198,                0.82673,                0.73171,                0.79347,                0.52674,                0.83757,                0.75464,                0.78894,                0.43167,                 1.1408,                  2.634,                0.99142,                 1.4862,              0.0013981,              0.0013981,              0.0013981
                     79,                0.71573,                 1.4866,                0.52374,                 1.0191,                0.74168,                0.73171,                0.72401,                0.44052,                   0.69,                0.68293,                0.67327,                0.36211,                   1.35,                 2.9436,                 1.2107,                 1.6174,              0.0013902,              0.0013902,              0.0013902
                     80,                0.71867,                 1.4149,                0.52577,                 1.0338,                0.85451,                0.71641,                0.73795,                0.48297,                0.77783,                0.70732,                0.70944,                0.39924,                 1.2265,                 2.8554,                 1.1108,                 1.5445,              0.0013822,              0.0013822,              0.0013822
                     81,                0.71081,                 1.4881,                0.52412,                 1.0166,                0.86367,                0.73171,                0.76848,                0.49939,                0.83437,                0.70732,                0.71783,                 0.3922,                  1.162,                 2.8896,                 0.9606,                 1.5329,              0.0013743,              0.0013743,              0.0013743
                     82,                0.67971,                 1.4335,                0.51811,                 1.0263,                0.78671,                 0.7561,                0.78726,                0.53013,                0.82283,                0.73171,                0.77257,                0.43852,                 1.1131,                 2.7566,                0.97568,                 1.3854,              0.0013664,              0.0013664,              0.0013664
                     83,                0.71705,                  1.463,                0.53131,                 1.0158,                0.84155,                 0.7773,                0.77447,                0.52509,                0.84155,                 0.7773,                0.75757,                0.41435,                 1.0635,                 2.7103,                 1.0478,                 1.3368,              0.0013585,              0.0013585,              0.0013585
                     84,                0.69842,                 1.4509,                0.52641,                 1.0229,                0.80901,                0.73171,                0.76137,                0.53479,                 0.8806,                0.65854,                0.75262,                0.44285,                 1.1656,                 2.4877,                 0.9884,                 1.5072,              0.0013506,              0.0013506,              0.0013506
                     85,                0.72592,                 1.4335,                0.51978,                 1.0227,                0.79706,                 0.7561,                0.75338,                0.47967,                0.79706,                 0.7561,                0.74304,                0.40329,                 1.2892,                   2.75,                 1.0407,                 1.5558,              0.0013426,              0.0013426,              0.0013426
                     86,                0.69533,                 1.3818,                0.50331,                 1.0188,                0.93503,                0.68293,                0.77768,                0.53041,                0.90036,                0.65854,                0.74605,                0.46944,                 1.1577,                 2.7714,                 1.0548,                 1.4717,              0.0013347,              0.0013347,              0.0013347
                     87,                0.68386,                 1.3672,                0.50088,                 1.0072,                0.81699,                0.70732,                0.71166,                0.47022,                0.79619,                0.68293,                 0.6976,                0.40906,                  1.167,                  2.718,                 1.1724,                 1.4668,              0.0013268,              0.0013268,              0.0013268
                     88,                0.68813,                 1.4207,                0.51345,                 1.0149,                 0.8412,                0.73171,                0.77991,                 0.5348,                0.73717,                 0.7561,                0.71634,                0.44561,                 1.1405,                 2.5957,                0.98331,                 1.4621,              0.0013189,              0.0013189,              0.0013189
                     89,                 0.6927,                 1.3903,                0.51443,                 1.0091,                0.81601,                0.78049,                0.78755,                 0.5416,                0.79051,                 0.7561,                0.73517,                0.47683,                 1.1361,                 2.5139,                0.87357,                 1.4752,               0.001311,               0.001311,               0.001311
                     90,                 0.6581,                 1.3519,                0.50776,                  1.012,                0.87635,                0.70732,                0.79083,                0.52877,                0.87833,                0.63415,                0.72111,                0.42628,                 1.1771,                 2.6675,                0.93984,                 1.5149,               0.001303,               0.001303,               0.001303
                     91,                0.66984,                 1.3642,                0.49555,                 1.0147,                0.76577,                0.70732,                0.71478,                0.46541,                0.73818,                0.68293,                0.66335,                0.37685,                 1.1445,                 2.8901,                  1.095,                  1.541,              0.0012951,              0.0012951,              0.0012951
                     92,                 0.6883,                 1.3645,                0.51242,                 1.0172,                0.88993,                0.68293,                 0.7763,                0.52838,                0.87464,                0.68078,                0.77188,                0.42634,                 1.0309,                 2.5774,                0.92049,                 1.4157,              0.0012872,              0.0012872,              0.0012872
                     93,                0.68446,                 1.3533,                0.50995,                 1.0089,                 0.7727,                 0.7561,                0.74458,                0.47641,                0.73503,                0.70732,                0.69971,                0.36954,                 1.2062,                   2.72,                 1.1643,                 1.4521,              0.0012793,              0.0012793,              0.0012793
                     94,                0.69352,                 1.3884,                0.51472,                 1.0159,                0.77593,                0.73171,                0.76334,                0.49119,                0.81907,                0.66259,                0.72779,                0.44759,                 1.2909,                 2.6223,                 1.0236,                 1.5731,              0.0012714,              0.0012714,              0.0012714
                     95,                 0.6751,                 1.4015,                0.50126,                 1.0006,                 0.8832,                0.78049,                 0.7684,                0.51093,                0.82959,                0.73171,                0.72556,                0.45361,                 1.1647,                 2.6009,                0.93417,                 1.5505,              0.0012634,              0.0012634,              0.0012634
                     96,                0.69528,                 1.3709,                0.50195,                 1.0085,                0.81371,                0.73171,                0.75495,                0.48068,                0.75946,                0.68293,                0.70758,                0.44031,                 1.2511,                 2.5447,                 1.0785,                 1.5413,              0.0012555,              0.0012555,              0.0012555
                     97,                0.69717,                 1.3757,                0.50571,                 1.0164,                0.78284,                0.70348,                0.67222,                0.43222,                0.72893,                0.65593,                0.62656,                0.37509,                 1.2616,                 2.8457,                 1.1911,                 1.5849,              0.0012476,              0.0012476,              0.0012476
                     98,                0.69306,                 1.3498,                0.50032,                 1.0066,                0.77469,                0.65854,                0.70346,                0.48573,                  0.833,                0.60833,                0.67817,                0.40134,                 1.1324,                  2.852,                 1.1323,                 1.5012,              0.0012397,              0.0012397,              0.0012397
                     99,                0.67475,                 1.3338,                 0.4973,                0.99506,                0.84383,                0.70732,                0.75565,                0.52718,                0.80509,                0.68293,                 0.7123,                0.43336,                 1.1188,                 2.8365,                 1.0933,                 1.4374,              0.0012318,              0.0012318,              0.0012318
                    100,                0.69018,                 1.3403,                0.51274,                 1.0092,                0.88941,                 0.7561,                0.79902,                0.59591,                0.86072,                0.73171,                0.76074,                 0.4755,                0.99932,                 2.5153,                0.90416,                 1.3355,              0.0012238,              0.0012238,              0.0012238
                    101,                0.65376,                 1.3709,                0.49581,                0.99585,                 0.8372,                0.70732,                0.75401,                 0.5741,                0.80833,                0.68293,                 0.7246,                0.45986,                 1.0288,                 2.4061,                0.98343,                 1.3462,              0.0012159,              0.0012159,              0.0012159
