word,percentage
detector,0.029
research,0.029
chance,0.029
probability,0.029
bubbles,0.029
forcecarrying,0.029
detect,0.029
chosen,0.029
helium,0.029
wormhole,0.029
chaotic,0.029
bantam,0.026
origin,0.026
apparently,0.026
include,0.026
progress,0.026
discover,0.026
going,0.026
third,0.026
moved,0.026
assumption,0.026
ought,0.026
proposed,0.026
night,0.026
extremely,0.026
regarded,0.026
repulsive,0.026
affect,0.026
nearer,0.026
began,0.026
rapidly,0.026
imagine,0.026
contains,0.026
definite,0.026
actually,0.026
develop,0.026
wrong,0.026
govern,0.026
others,0.026
ultimate,0.026
meter,0.026
accelerate,0.026
hold,0.026
ether,0.026
empty,0.026
american,0.026
welldefined,0.026
neither,0.026
millions,0.026
systems,0.026
rocket,0.026
physicists,0.026
expands,0.026
recollapse,0.026
dimension,0.026
fiction,0.026
collapsing,0.026
perfectly,0.026
correspond,0.026
college,0.026
charge,0.026
charged,0.026
values,0.026
probable,0.026
problems,0.026
memory,0.026
books,0.024
short,0.024
theoretical,0.024
results,0.024
finding,0.024
otherwise,0.024
boundaries,0.024
sphere,0.024
coming,0.024
true,0.024
knew,0.024
pole,0.024
accurate,0.024
year,0.024
observing,0.024
stronger,0.024
argued,0.024
central,0.024
existed,0.024
continue,0.024
assume,0.024
consequences,0.024
arbitrary,0.024
sure,0.024
reasonable,0.024
search,0.024
heavy,0.024
held,0.024
keep,0.024
heavier,0.024
train,0.024
traveled,0.024
british,0.024
crest,0.024
sent,0.024
received,0.024
common,0.024
floor,0.024
specify,0.024
affected,0.024
bent,0.024
fields,0.024
roger,0.024
shows,0.024
balance,0.024
ways,0.024
solar,0.024
university,0.024
final,0.024
depend,0.024
screen,0.024
collide,0.024
hope,0.024
your,0.024
equal,0.024
photon,0.024
reverse,0.024
pressure,0.024
remains,0.024
power,0.024
stages,0.024
euclidean,0.024
closed,0.024
arrows,0.024
computer,0.024
infinities,0.024
random,0.021
wormholes,0.021
success,0.021
create,0.021
rapid,0.021
revolution,0.021
creation,0.021
tiny,0.021
collection,0.021
supported,0.021
lower,0.021
socalled,0.021
observable,0.021
followed,0.021
sometimes,0.021
generally,0.021
despite,0.021
axis,0.021
impossible,0.021
period,0.021
cases,0.021
infinitely,0.021
limits,0.021
degree,0.021
accuracy,0.021
increased,0.021
changes,0.021
evolve,0.021
sets,0.021
depends,0.021
millionth,0.021
sufficient,0.021
weight,0.021
equivalent,0.021
acceleration,0.021
moment,0.021
combined,0.021
ripples,0.021
shorter,0.021
percent,0.021
takes,0.021
identical,0.021
precisely,0.021
definition,0.021
experience,0.021
choose,0.021
fourdimensional,0.021
bigger,0.021
forms,0.021
frequency,0.021
larger,0.021
worked,0.021
feature,0.021
atmosphere,0.021
implications,0.021
penzias,0.021
wilson,0.021
neighboring,0.021
study,0.021
proved,0.021
argue,0.021
places,0.021
carry,0.021
breaking,0.021
manner,0.021
mistake,0.021
gluons,0.021
tons,0.021
particleantiparticle,0.021
mirror,0.021
nuclei,0.021
royal,0.021
bomb,0.021
fuel,0.021
eddington,0.021
repulsion,0.021
dwarf,0.021
cygnus,0.021
temperatures,0.021
fell,0.021
feynmans,0.021
psychological,0.021
information,0.019
congress,0.019
five,0.019
eight,0.019
fate,0.019
didnt,0.019
interest,0.019
observational,0.019
irregularities,0.019
vast,0.019
recent,0.019
greek,0.019
philosopher,0.019
arguments,0.019
earths,0.019
elliptical,0.019
unless,0.019
appeared,0.019
apparent,0.019
accepted,0.019
beyond,0.019
church,0.019
german,0.019
planet,0.019
magnetic,0.019
causes,0.019
follow,0.019
unchanging,0.019
making,0.019
distribution,0.019
nearby,0.019
unstable,0.019
normally,0.019
difficulty,0.019
turned,0.019
civilization,0.019
philosophers,0.019
limited,0.019
concept,0.019
essentially,0.019
twenty,0.019
defined,0.019
practical,0.019
parts,0.019
turns,0.019
scales,0.019
major,0.019
chapters,0.019
combine,0.019
draw,0.019
here,0.019
knowledge,0.019
description,0.019
measurements,0.019
travels,0.019
measuring,0.019
publication,0.019
receive,0.019
attempts,0.019
clocks,0.019
pulse,0.019
divided,0.019
recorded,0.019
multiplied,0.019
specified,0.019
spread,0.019
represented,0.019
suggestion,0.019
warped,0.019
inward,0.019
mind,0.019
individual,0.019
continued,0.019
types,0.019
containing,0.019
color,0.019
corresponding,0.019
shift,0.019
contract,0.019
introduced,0.019
throughout,0.019
student,0.019
falls,0.019
dark,0.019
theorems,0.019
determinism,0.019
freedom,0.019
indicate,0.019
type,0.019
duality,0.019
slits,0.019
rise,0.019
favor,0.019
tube,0.019
green,0.019
return,0.019
transition,0.019
expanded,0.019
evolution,0.019
institute,0.019
oxygen,0.019
conference,0.019
students,0.019
cant,0.019
open,0.019
politics,0.019
brief,0.016
cosmology,0.016
house,0.016
everyone,0.016
mentioned,0.016
anyone,0.016
expected,0.016
london,0.016
structures,0.016
told,0.016
spherical,0.016
looking,0.016
felt,0.016
ptolemy,0.016
passed,0.016
moons,0.016
implied,0.016
circle,0.016
principia,0.016
mathematics,0.016
hitting,0.016
himself,0.016
distributed,0.016
consider,0.016
various,0.016
previously,0.016
talk,0.016
reality,0.016
person,0.016
describes,0.016
feel,0.016
regard,0.016
regular,0.016
associated,0.016
largescale,0.016
properties,0.016
paradox,0.016
organisms,0.016
variations,0.016
grounds,0.016
belief,0.016
indicated,0.016
slowed,0.016
whenever,0.016
unique,0.016
obeyed,0.016
slowly,0.016
astronomer,0.016
pass,0.016
electricity,0.016
name,0.016
equation,0.016
reflected,0.016
unit,0.016
feet,0.016
suitable,0.016
west,0.016
piccadilly,0.016
combination,0.016
upward,0.016
cones,0.016
nearest,0.016
shortest,0.016
dimensional,0.016
tested,0.016
naked,0.016
particularly,0.016
shape,0.016
spectra,0.016
blue,0.016
crests,0.016
nineteenth,0.016
noise,0.016
gamow,0.016
awarded,0.016
kinds,0.016
extent,0.016
solutions,0.016
steady,0.016
cubic,0.016
approximations,0.016
collapsed,0.016
contained,0.016
gone,0.016
technical,0.016
changed,0.016
laplace,0.016
frequencies,0.016
needs,0.016
plancks,0.016
features,0.016
technology,0.016
composed,0.016
implies,0.016
opening,0.016
maybe,0.016
reactions,0.016
irregular,0.016
positively,0.016
colleague,0.016
thirty,0.016
degrees,0.016
partner,0.016
tend,0.016
accelerators,0.016
antielectrons,0.016
except,0.016
image,0.016
cold,0.016
censorship,0.016
possibilities,0.016
california,0.016
seminar,0.016
writers,0.016
process,0.016
precise,0.016
thermodynamics,0.016
boxes,0.016
configurations,0.016
spacetimes,0.016
gdel,0.016
leibniz,0.016
stephen,0.013
writing,0.013
consisting,0.013
david,0.013
page,0.013
done,0.013
piece,0.013
mine,0.013
discuss,0.013
recently,0.013
suggest,0.013
underlying,0.013
measurement,0.013
selfcontained,0.013
young,0.013
tower,0.013
obvious,0.013
whatever,0.013
shadow,0.013
occurred,0.013
circular,0.013
brought,0.013
advantage,0.013
death,0.013
addition,0.013
attracted,0.013
head,0.013
attract,0.013
uniformly,0.013
interesting,0.013
twentieth,0.013
tendency,0.013
dominate,0.013
sight,0.013
reached,0.013
augustine,0.013
pure,0.013
asked,0.013
hubbles,0.013
dense,0.013
ignored,0.013
exists,0.013
class,0.013
basis,0.013
fire,0.013
quantity,0.013
prove,0.013
abandon,0.013
previous,0.013
goal,0.013
wanted,0.013
representing,0.013
newtonian,0.013
independent,0.013
inch,0.013
inconsistent,0.013
incorporate,0.013
falling,0.013
meters,0.013
acted,0.013
clock,0.013
behind,0.013
microwaves,0.013
sound,0.013
mathematician,0.013
usually,0.013
necessarily,0.013
radar,0.013
lines,0.013
joining,0.013
group,0.013
spatial,0.013
plus,0.013
seeing,0.013
geodesic,0.013
deflected,0.013
confirmed,0.013
taking,0.013
bottom,0.013
begun,0.013
possibly,0.013
concentrated,0.013
living,0.013
characteristic,0.013
passes,0.013
vary,0.013
doppler,0.013
emits,0.013
redshifted,0.013
spent,0.013
alone,0.013
balloon,0.013
remained,0.013
sufficiently,0.013
maximum,0.013
comes,0.013
ends,0.013
halt,0.013
clusters,0.013
catholic,0.013
pronounced,0.013
involved,0.013
collided,0.013
claim,0.013
penroses,0.013
partly,0.013
disappear,0.013
experimental,0.013
gods,0.013
intervene,0.013
quanta,0.013
reduced,0.013
role,0.013
computers,0.013
chemistry,0.013
entirely,0.013
interference,0.013
thin,0.013
film,0.013
partition,0.013
parallel,0.013
lose,0.013
simplest,0.013
cycle,0.013
allows,0.013
bring,0.013
settled,0.013
written,0.013
colliding,0.013
volts,0.013
exchange,0.013
category,0.013
pictured,0.013
understood,0.013
spontaneous,0.013
antimatter,0.013
holds,0.013
step,0.013
generation,0.013
test,0.013
runs,0.013
ourselves,0.013
tension,0.013
stable,0.013
astronauts,0.013
united,0.013
born,0.013
news,0.013
unseen,0.013
poles,0.013
formation,0.013
prevent,0.013
moscow,0.013
member,0.013
intensity,0.013
sort,0.013
destroyed,0.013
guth,0.013
effective,0.013
linde,0.013
unchanged,0.013
abacus,0.013
warp,0.013
alternative,0.013
supergravity,0.013
usual,0.013
ring,0.013
straw,0.013
curled,0.013
design,0.011
hawking,0.011
edition,0.011
cover,0.011
seven,0.011
albert,0.011
isaac,0.011
myself,0.011
bible,0.011
maps,0.011
governed,0.011
cobe,0.011
edges,0.011
distinguish,0.011
astronomy,0.011
tortoise,0.011
answers,0.011
eclipse,0.011
estimate,0.011
ship,0.011
surrounded,0.011
circles,0.011
attached,0.011
stay,0.011
rotate,0.011
simpler,0.011
copernicus,0.011
publicly,0.011
copernican,0.011
blow,0.011
looked,0.011
giving,0.011
concerned,0.011
mathematica,0.011
closer,0.011
richard,0.011
leading,0.011
instance,0.011
date,0.011
intervention,0.011
considered,0.011
thesis,0.011
meaning,0.011
edwin,0.011
emphasized,0.011
creator,0.011
practice,0.011
often,0.011
crucial,0.011
purposes,0.011
phenomena,0.011
unfortunately,0.011
ultimately,0.011
presumably,0.011
survive,0.011
chances,0.011
evolved,0.011
valid,0.011
pull,0.011
slope,0.011
galileos,0.011
drops,0.011
seconds,0.011
powerful,0.011
standard,0.011
respect,0.011
track,0.011
lack,0.011
proper,0.011
james,0.011
maxwells,0.011
centimeter,0.011
everywhere,0.011
poincar,0.011
best,0.011
significant,0.011
confined,0.011
consequence,0.011
measures,0.011
knows,0.011
nowadays,0.011
corresponds,0.011
presence,0.011
level,0.011
plane,0.011
local,0.011
choice,0.011
distinction,0.011
coordinate,0.011
threedimensional,0.011
easy,0.011
divide,0.011
elsewhere,0.011
successful,0.011
depended,0.011
thing,0.011
immediately,0.011
errors,0.011
loses,0.011
agreement,0.011
calculated,0.011
twins,0.011
returned,0.011
personal,0.011
acts,0.011
affects,0.011
lightyears,0.011
astronomers,0.011
ours,0.011
brightness,0.011
luminosity,0.011
glowing,0.011
missing,0.011
chemical,0.011
pulses,0.011
influence,0.011
late,0.011
formulated,0.011
claimed,0.011
russian,0.011
fraction,0.011
dicke,0.011
peebles,0.011
greatly,0.011
blown,0.011
contracts,0.011
decreases,0.011
separation,0.011
onto,0.011
determined,0.011
raise,0.011
suggests,0.011
volume,0.011
fewer,0.011
denser,0.011
attempt,0.011
compressed,0.011
nice,0.011
remove,0.011
efforts,0.011
radiate,0.011
require,0.011
lost,0.011
heisenberg,0.011
agreed,0.011
biology,0.011
areas,0.011
absorbed,0.011
troughs,0.011
sides,0.011
bubble,0.011
fringes,0.011
slit,0.011
units,0.011
trouble,0.011
waveparticle,0.011
couple,0.011
represents,0.011
word,0.011
indivisible,0.011
generated,0.011
internal,0.011
joined,0.011
double,0.011
mathematically,0.011
collides,0.011
exchanged,0.011
remaining,0.011
notice,0.011
graviton,0.011
gravitons,0.011
released,0.011
responsible,0.011
wheel,0.011
combinations,0.011
guts,0.011
machine,0.011
lifetime,0.011
filled,0.011
cooled,0.011
michell,0.011
society,0.011
explosion,0.011
cool,0.011
accounts,0.011
arises,0.011
settle,0.011
signal,0.011
watch,0.011
realistic,0.011
version,0.011
gradually,0.011
densities,0.011
israel,0.011
kerr,0.011
conjecture,0.011
mechanism,0.011
running,0.011
enormous,0.011
suddenly,0.011
changing,0.011
initially,0.011
lightyear,0.011
bursts,0.011
originally,0.011
existing,0.011
crunch,0.011
recollapsed,0.011
tried,0.011
pope,0.011
gives,0.011
lumpy,0.011
formulate,0.011
operations,0.011
cups,0.011
arrangement,0.011
advanced,0.011
wouldnt,0.011
travelers,0.011
atomic,0.011
worldsheet,0.011
formulations,0.011
sequence,0.011
friends,0.011
copernicanism,0.011
baby,0.008
secret,0.008
lucy,0.008
november,0.008
copyright,0.008
mechanical,0.008
data,0.008
title,0.008
division,0.008
photograph,0.008
foreword,0.008
write,0.008
weeks,0.008
forty,0.008
former,0.008
indicates,0.008
indication,0.008
represent,0.008
explorer,0.008
satellite,0.008
grew,0.008
agrees,0.008
public,0.008
lady,0.008
room,0.008
tortoises,0.008
ridiculous,0.008
believing,0.008
eclipses,0.008
disk,0.008
elongated,0.008
greeks,0.008
lies,0.008
equator,0.008
spheres,0.008
mercury,0.008
predicting,0.008
recognized,0.008
flaw,0.008
hell,0.008
kepler,0.008
telescope,0.008
satellites,0.008
orbited,0.008
appearance,0.008
copernicuss,0.008
suggesting,0.008
merely,0.008
clearly,0.008
motions,0.008
ground,0.008
reflection,0.008
balanced,0.008
bright,0.008
absorption,0.008
intervening,0.008
heated,0.008
tradition,0.008
performed,0.008
divine,0.008
antithesis,0.008
begin,0.008
ability,0.008
instant,0.008
meaningless,0.008
karl,0.008
disagree,0.008
governing,0.008
bits,0.008
full,0.008
intellectual,0.008
want,0.008
actions,0.008
conclusions,0.008
material,0.008
individuals,0.008
differences,0.008
survival,0.008
justification,0.008
aristotelian,0.008
demonstrated,0.008
false,0.008
weights,0.008
easier,0.008
feather,0.008
resistance,0.008
familiar,0.008
engine,0.008
bounces,0.008
worried,0.008
refused,0.008
accept,0.008
opinion,0.008
interval,0.008
roemer,0.008
noticed,0.008
compared,0.008
proving,0.008
unifying,0.008
angles,0.008
applied,0.008
surprise,0.008
unknown,0.008
willing,0.008
french,0.008
postulate,0.008
freely,0.008
equivalence,0.008
harder,0.008
quickly,0.008
slower,0.008
journey,0.008
diagram,0.008
related,0.008
horizontally,0.008
vertical,0.008
latitude,0.008
describing,0.008
specifying,0.008
hard,0.008
diagrams,0.008
stone,0.008
mark,0.008
shine,0.008
construct,0.008
explaining,0.008
longest,0.008
route,0.008
watching,0.008
feels,0.008
strongest,0.008
causing,0.008
expedition,0.008
knowing,0.008
mounted,0.008
importance,0.008
signals,0.008
mountain,0.008
moves,0.008
notion,0.008
