                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.61177,                 2.2593,                0.25079,                0.50268,                 1.0564,                0.86938,                0.95093,                0.97196,                0.66528,                 0.8366,                 0.7619,                0.86404,                0.41724,                 1.1466,                 2.9195,                0.09576,                0.62928,                 1.7196,              0.0019512,              0.0019512,              0.0019512
                     40,                0.60314,                 2.4827,                0.24339,                0.50661,                 1.0295,                0.94961,                0.89772,                0.98384,                0.73449,                0.86911,                 0.7619,                 0.8447,                0.38794,                0.94393,                 2.9994,                0.11728,                0.60267,                 1.4521,              0.0019498,              0.0019498,              0.0019498
                     41,                0.56185,                 2.4548,                0.25229,                0.45515,                 1.0068,                0.93463,                0.90476,                0.98155,                0.76789,                0.83594,                0.80952,                0.83819,                0.43054,                0.88815,                 2.8275,                   0.12,                0.53554,                 1.4233,              0.0019485,              0.0019485,              0.0019485
                     42,                0.62114,                 2.4674,                0.25689,                0.50295,                 1.0342,                0.90056,                0.95238,                0.97205,                0.69822,                0.80837,                0.80952,                0.87635,                0.42737,                 1.0208,                 2.9025,                0.11346,                0.59871,                 1.4463,              0.0019472,              0.0019472,              0.0019472
                     43,                0.56269,                 2.3476,                0.24558,                0.45803,                 1.0161,                 0.9518,                0.94085,                0.97479,                0.71865,                0.78328,                 0.7619,                0.79072,                0.45288,                0.96465,                  2.906,                0.10893,                0.60232,                 1.3955,              0.0019459,              0.0019459,              0.0019459
                     44,                0.55938,                 2.5176,                0.25926,                0.46192,                0.99441,                0.80286,                      1,                0.96436,                0.68642,                0.68816,                0.85714,                0.83239,                0.42677,                 1.0753,                 2.9143,                0.09095,                0.65743,                 1.5068,              0.0019446,              0.0019446,              0.0019446
                     45,                 0.5841,                 2.1814,                 0.2419,                0.46574,                 1.0065,                 0.8175,                      1,                0.96997,                0.69953,                0.74981,                0.71429,                0.74008,                 0.3767,                 1.0898,                 2.9351,                 0.0931,                0.66609,                 1.5934,              0.0019432,              0.0019432,              0.0019432
                     46,                0.61427,                 2.3623,                0.25646,                  0.485,                 1.0177,                0.94901,                0.88693,                 0.9736,                0.66543,                0.77606,                0.71429,                0.65649,                0.31554,                 1.0897,                 3.1732,                 0.1079,                0.62177,                 1.5742,              0.0019419,              0.0019419,              0.0019419
                     47,                0.58975,                 2.4489,                0.24745,                0.48068,                 1.0186,                0.90832,                0.94391,                0.97951,                0.65813,                 0.8322,                0.70878,                 0.7376,                0.34929,                 1.1179,                  3.116,                0.14245,                0.58297,                 1.5627,              0.0019406,              0.0019406,              0.0019406
                     48,                0.56382,                 2.5002,                0.26074,                 0.4688,                 1.0019,                0.85959,                      1,                0.98375,                0.68018,                0.76163,                0.61905,                0.62258,                0.33423,                 1.1098,                 3.2845,                0.18705,                0.68413,                  1.582,              0.0019393,              0.0019393,              0.0019393
                     49,                0.57773,                 2.4576,                 0.2619,                0.45727,                 1.0226,                0.90644,                0.92325,                0.98155,                0.68903,                0.79547,                 0.7619,                0.76856,                0.41099,                 1.0327,                 2.9383,                0.13647,                0.65173,                 1.5474,               0.001938,               0.001938,               0.001938
                     50,                0.58968,                 2.3863,                0.25352,                0.48624,                 1.0409,                0.90547,                0.91252,                0.97705,                0.63953,                0.78072,                 0.7619,                0.76473,                0.41002,                 1.0754,                 2.8869,                0.12591,                0.71316,                  1.621,              0.0019366,              0.0019366,              0.0019366
                     51,                0.60956,                 2.4884,                0.26062,                0.48253,                 1.0326,                0.86901,                      1,                0.97675,                0.65549,                0.71175,                0.71429,                0.71006,                0.36465,                 1.0797,                 3.0822,                0.10822,                0.65418,                 1.6596,              0.0019353,              0.0019353,              0.0019353
